Open Time,Open,High,Low,Close,Volume
2022-10-19 04:00:00,19276.00,19300.00,19136.00,19210.00,58989.958
2022-10-19 08:00:00,19210.00,19274.80,19133.40,19193.20,65403.305
2022-10-19 12:00:00,19193.20,19300.00,19050.00,19259.80,124872.491
2022-10-19 16:00:00,19259.80,19271.30,19082.00,19223.60,67703.251
2022-10-19 20:00:00,19223.70,19239.40,19070.80,19116.70,46086.207
2022-10-20 00:00:00,19116.60,19158.80,18882.40,19033.20,85056.904
2022-10-20 04:00:00,19033.20,19199.60,19031.70,19138.00,68876.025
2022-10-20 08:00:00,19138.00,19249.20,19098.00,19199.00,59101.242
2022-10-20 12:00:00,19198.90,19350.00,19120.00,19244.30,126988.352
2022-10-20 16:00:00,19244.20,19244.30,18954.70,19055.80,138535.695
2022-10-20 20:00:00,19055.80,19092.00,18912.40,19034.70,59068.830
2022-10-21 00:00:00,19034.80,19126.80,18991.70,19044.00,42920.968
2022-10-21 04:00:00,19044.00,19075.10,18982.20,19019.40,38347.648
2022-10-21 08:00:00,19019.40,19033.00,18885.30,18934.30,76281.011
2022-10-21 12:00:00,18934.20,19170.00,18600.00,19158.70,275533.924
2022-10-21 16:00:00,19158.60,19238.70,19080.00,19178.80,115282.479
2022-10-21 20:00:00,19178.80,19240.00,19128.00,19150.90,33512.875
2022-10-22 00:00:00,19151.00,19175.60,19103.50,19142.00,25684.772
2022-10-22 04:00:00,19142.00,19167.90,19124.70,19155.30,17041.655
2022-10-22 08:00:00,19155.20,19178.60,19128.40,19168.90,20976.902
2022-10-22 12:00:00,19168.90,19250.00,19143.30,19223.70,52378.099
2022-10-22 16:00:00,19223.80,19236.80,19122.00,19175.10,38570.393
2022-10-22 20:00:00,19175.00,19217.10,19164.10,19195.10,19403.221
2022-10-23 00:00:00,19195.10,19211.10,19155.00,19188.90,18722.742
2022-10-23 04:00:00,19188.80,19214.00,19136.00,19151.60,29127.474
2022-10-23 08:00:00,19151.60,19177.10,19118.00,19142.00,27340.008
2022-10-23 12:00:00,19142.10,19204.90,19050.00,19180.60,48995.342
2022-10-23 16:00:00,19180.60,19527.00,19160.30,19492.20,125087.405
2022-10-23 20:00:00,19492.30,19690.00,19436.10,19560.70,109338.571
2022-10-24 00:00:00,19560.60,19593.30,19333.00,19384.00,86135.596
2022-10-24 04:00:00,19384.00,19384.00,19235.40,19318.40,80527.069
2022-10-24 08:00:00,19318.40,19435.80,19287.40,19412.60,65383.115
2022-10-24 12:00:00,19412.50,19439.80,19146.00,19291.70,148518.765
2022-10-24 16:00:00,19291.80,19415.20,19215.40,19335.90,60405.461
2022-10-24 20:00:00,19335.90,19406.90,19289.40,19318.10,35706.530
2022-10-25 00:00:00,19318.10,19356.00,19242.20,19332.70,39756.935
2022-10-25 04:00:00,19332.70,19369.00,19264.00,19296.90,33635.521
2022-10-25 08:00:00,19296.90,19315.00,19228.00,19291.00,45608.097
2022-10-25 12:00:00,19291.00,19799.90,19250.00,19740.30,219375.722
2022-10-25 16:00:00,19740.30,20415.00,19711.90,20266.80,317676.364
2022-10-25 20:00:00,20266.70,20289.60,19970.60,20068.30,121253.895
2022-10-26 00:00:00,20068.30,20297.70,20041.10,20238.60,73247.237
2022-10-26 04:00:00,20238.60,20368.30,20126.00,20333.70,77757.055
2022-10-26 08:00:00,20333.60,20800.00,20270.00,20595.90,184513.166
2022-10-26 12:00:00,20596.00,21030.00,20329.10,20835.70,302453.835
2022-10-26 16:00:00,20835.60,20985.40,20631.70,20754.40,130454.115
2022-10-26 20:00:00,20754.50,20897.40,20688.60,20758.30,73439.574
2022-10-27 00:00:00,20758.40,20837.80,20561.50,20744.30,59498.206
2022-10-27 04:00:00,20744.30,20863.70,20670.00,20703.60,54132.429
2022-10-27 08:00:00,20703.60,20742.90,20450.00,20613.10,100770.956
2022-10-27 12:00:00,20613.10,20773.10,20420.00,20554.00,186001.906
